No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
2,AX,ALA,248,Northern
3,AL,ALB,8,Southern
6,AD,AND,20,Southern
15,AT,AUT,40,Western
21,BY,BLR,112,Eastern
22,BE,BEL,56,Western
29,BA,BIH,70,Southern
36,BG,BGR,100,Eastern
58,HR,HRV,191,Southern
62,CZ,CZE,203,Eastern
65,DK,DNK,208,Northern
74,EE,EST,233,Northern
78,FO,FRO,234,Northern
80,FI,FIN,246,Northern
81,FR,FRA,250,Western
88,DE,DEU,276,Western
90,GI,GIB,292,Southern
91,GR,GRC,300,Southern
97,GG,GGY,831,Northern
103,VA,VAT,336,Southern
105,HU,HUN,348,Eastern
106,IS,ISL,352,Northern
111,IE,IRL,372,Northern
112,IM,IMN,833,Northern
114,IT,ITA,380,Southern
117,JE,JEY,832,Northern
125,LV,LVA,428,Northern
130,LI,LIE,438,Western
131,LT,LTU,440,Northern
132,LU,LUX,442,Western
138,MT,MLT,470,Southern
146,MC,MCO,492,Western
148,ME,MNE,499,Southern
156,NL,NLD,528,Western
164,MK,MKD,807,Southern
166,NO,NOR,578,Northern
176,PL,POL,616,Eastern
177,PT,PRT,620,Southern
181,MD,MDA,498,Eastern
183,RO,ROU,642,Eastern
184,RU,RUS,643,Eastern
194,SM,SMR,674,Southern
196,CQ,,680,Northern
199,RS,SRB,688,Southern
204,SK,SVK,703,Eastern
205,SI,SVN,705,Southern
211,ES,ESP,724,Southern
216,SJ,SJM,744,Northern
217,SE,SWE,752,Northern
218,CH,CHE,756,Western
233,UA,UKR,804,Eastern
235,UK,GBR,826,Northern
0,XK,XKX,412,Southern