Country,Color
AL,#FF4D4D
XK,blue
ME,#6D8C3E
US,#00C3FF
CA,red
AF,black
IR,#239F40
GB,#C8102E
IT,#008C45
ES,#F1BF00
FR,#002654
DE,#FFCC00
RU,#1C3578
AU,#012169
JP,white
BR,#009739
CN,#EE1C25
PK,#115740
IN,#FF9933
GR,#001489
RS,#C6363C
MK,#F8E92E
BG,#00966E
TR,#C8102E
GL,white
IS,#396D7C
PL,#DC143C
BA,#FFCD00
HR,#012169
RO,#FCD116
AT,white
HU,#477050
SA,#165d31
KZ,#00AFCA
CH,#DA291C
SI,#003DA5
CZ,#11457E
SK,#EE1C25
PT,orange
IE,#009A44
DK,#C8102E
SE,#006AA7
FI,white
NO,#BA0C2F
NL,#003DA5
BE,#C8102E
LU,#51ADDA
UA,#0057B7
BY,#00AF66
LT,#FFB81C
LV,#A4343A
EE,#0072CE
GE,white
AM,#FF9E1B
AZ,#00AF66
MD,#AD7C59
AQ,white
MX,#B9975B
MT,#C8102E
SM,#BBEEAA
UK,blue
OT,#F9DD16
VA,yellow
ZA,linear-gradient(to right, red, yellow)
EG,radial-gradient(center 50% 50%, radius 100%, red, yellow)